Fecha Tiempo Temperatura Distancia Paso_Madera
2025/1/15 12:59:48 19.93 332.00 0
2025/1/15 12:59:48 20.01 332.00 0
2025/1/15 12:59:49 19.99 332.00 0
2025/1/15 12:59:49 20.05 332.00 0
2025/1/15 12:59:49 19.97 332.00 0
2025/1/15 12:59:49 20.09 332.00 0
2025/1/15 12:59:50 19.99 332.00 0
2025/1/15 12:59:50 20.03 332.00 0
2025/1/15 12:59:50 19.99 333.00 0
2025/1/15 12:59:50 19.97 333.00 0
2025/1/15 12:59:50 20.01 333.00 0
2025/1/15 12:59:51 19.97 333.00 0
2025/1/15 12:59:51 20.01 333.00 0
2025/1/15 12:59:51 20.13 332.00 0
2025/1/15 12:59:51 19.93 332.00 0
2025/1/15 12:59:52 19.97 332.00 0
2025/1/15 12:59:52 19.97 332.00 0
2025/1/15 12:59:52 19.93 332.00 0
2025/1/15 12:59:52 20.01 332.00 0
2025/1/15 12:59:53 20.03 332.00 0
2025/1/15 12:59:53 19.93 332.00 0
2025/1/15 12:59:53 19.99 332.00 0
2025/1/15 12:59:53 20.03 332.00 0
2025/1/15 12:59:54 19.91 332.00 0
2025/1/15 12:59:54 20.03 332.00 0
2025/1/15 12:59:54 19.99 332.00 0
2025/1/15 12:59:54 19.99 332.00 0
2025/1/15 12:59:55 19.97 332.00 0
2025/1/15 12:59:55 20.03 332.00 0
2025/1/15 12:59:55 20.03 332.00 0
2025/1/15 12:59:55 19.99 333.00 0
2025/1/15 12:59:55 19.99 332.00 0
2025/1/15 12:59:56 19.93 333.00 0
2025/1/15 12:59:56 19.93 333.00 0
2025/1/15 12:59:56 20.03 333.00 0
2025/1/15 12:59:56 19.97 333.00 0
2025/1/15 12:59:57 19.99 332.00 0
2025/1/15 12:59:57 20.03 332.00 0
2025/1/15 12:59:57 20.03 332.00 0
2025/1/15 12:59:57 20.07 333.00 0
2025/1/15 12:59:58 19.95 333.00 0
2025/1/15 12:59:58 20.01 332.00 0
2025/1/15 12:59:58 20.03 333.00 0
2025/1/15 12:59:58 20.03 333.00 0
2025/1/15 12:59:59 20.05 333.00 0
2025/1/15 12:59:59 20.03 332.00 0
2025/1/15 12:59:59 19.97 332.00 0
2025/1/15 12:59:59 20.11 332.00 0
2025/1/15 12:59:59 19.99 332.00 0
2025/1/15 13:0:0 19.99 332.00 0
2025/1/15 13:0:0 19.95 332.00 0
2025/1/15 13:0:0 20.03 332.00 0
2025/1/15 13:0:0 20.03 332.00 0
2025/1/15 13:0:1 20.03 332.00 0
2025/1/15 13:0:1 20.11 332.00 0
2025/1/15 13:0:1 20.09 332.00 0
2025/1/15 13:0:1 20.03 332.00 0
2025/1/15 13:0:2 20.05 332.00 0
2025/1/15 13:0:2 19.97 332.00 0
2025/1/15 13:0:2 20.07 332.00 0
2025/1/15 13:0:2 20.05 332.00 0
2025/1/15 13:0:3 20.03 332.00 0
2025/1/15 13:0:3 19.99 332.00 0
2025/1/15 13:0:3 19.97 332.00 0
2025/1/15 13:0:3 20.01 332.00 0
2025/1/15 13:0:3 20.03 332.00 0
2025/1/15 13:0:4 19.97 332.00 0
2025/1/15 13:0:4 20.03 332.00 0
2025/1/15 13:0:4 20.05 332.00 0
2025/1/15 13:0:4 19.97 332.00 0
2025/1/15 13:0:5 20.05 332.00 0
2025/1/15 13:0:5 20.01 332.00 0
2025/1/15 13:0:5 19.97 332.00 0
2025/1/15 13:0:5 20.07 332.00 0
2025/1/15 13:0:6 20.03 332.00 0
2025/1/15 13:0:6 20.05 332.00 0
2025/1/15 13:0:6 19.97 332.00 0
2025/1/15 13:0:6 20.01 332.00 0
2025/1/15 13:0:7 20.03 332.00 0
2025/1/15 13:0:7 20.05 332.00 0
2025/1/15 13:0:7 20.03 332.00 0
2025/1/15 13:0:7 19.99 332.00 0
2025/1/15 13:0:7 20.03 332.00 0
2025/1/15 13:0:8 20.11 332.00 0
2025/1/15 13:0:8 20.05 332.00 0
2025/1/15 13:0:8 19.97 332.00 0
2025/1/15 13:0:8 19.97 332.00 0
2025/1/15 13:0:9 19.99 332.00 0
2025/1/15 13:0:9 19.95 332.00 0
2025/1/15 13:0:9 20.01 332.00 0
2025/1/15 13:0:9 19.99 332.00 0
2025/1/15 13:0:10 20.01 332.00 0
2025/1/15 13:0:10 20.01 333.00 0
2025/1/15 13:0:10 20.01 333.00 0
2025/1/15 13:0:10 20.01 333.00 0
2025/1/15 13:0:11 20.09 333.00 0
2025/1/15 13:0:11 20.07 332.00 0
2025/1/15 13:0:11 19.99 332.00 0
2025/1/15 13:0:11 19.99 332.00 0
2025/1/15 13:0:11 20.03 332.00 0
2025/1/15 13:0:12 20.11 332.00 0
2025/1/15 13:0:12 20.15 332.00 0
2025/1/15 13:0:12 19.97 332.00 0
2025/1/15 13:0:12 20.01 332.00 0
2025/1/15 13:0:13 20.15 332.00 0
2025/1/15 13:0:13 20.07 333.00 0
2025/1/15 13:0:13 20.05 333.00 0
2025/1/15 13:0:13 20.09 332.00 0
2025/1/15 13:0:14 20.03 332.00 0
2025/1/15 13:0:14 20.09 332.00 0
2025/1/15 13:0:14 20.03 332.00 0
2025/1/15 13:0:14 20.07 332.00 0
2025/1/15 13:0:15 20.01 332.00 0
2025/1/15 13:0:15 20.01 332.00 0
2025/1/15 13:0:15 20.05 332.00 0
2025/1/15 13:0:15 20.01 332.00 0
2025/1/15 13:0:15 20.07 332.00 0
2025/1/15 13:0:16 20.11 332.00 0
2025/1/15 13:0:16 20.05 333.00 0
2025/1/15 13:0:16 20.07 333.00 0
2025/1/15 13:0:16 20.11 332.00 0
2025/1/15 13:0:17 20.01 332.00 0
2025/1/15 13:0:17 20.13 332.00 0
2025/1/15 13:0:17 20.01 332.00 0
2025/1/15 13:0:17 20.11 332.00 0
2025/1/15 13:0:18 20.05 332.00 0
2025/1/15 13:0:18 19.97 332.00 0
2025/1/15 13:0:18 20.17 332.00 0
2025/1/15 13:0:18 20.03 332.00 0
2025/1/15 13:0:19 20.07 332.00 0
2025/1/15 13:0:19 20.05 332.00 0
2025/1/15 13:0:19 20.11 332.00 0
2025/1/15 13:0:19 20.13 332.00 0
2025/1/15 13:0:20 20.07 332.00 0
2025/1/15 13:0:20 19.99 332.00 0
2025/1/15 13:0:20 20.13 333.00 0
2025/1/15 13:0:20 20.09 333.00 0
2025/1/15 13:0:20 20.15 333.00 0
2025/1/15 13:0:21 20.05 333.00 0
2025/1/15 13:0:21 20.03 333.00 0
2025/1/15 13:0:21 20.05 333.00 0
2025/1/15 13:0:21 20.01 332.00 0
2025/1/15 13:0:22 20.07 332.00 0
2025/1/15 13:0:22 20.05 332.00 0
2025/1/15 13:0:22 20.15 332.00 0
2025/1/15 13:0:22 19.95 332.00 0
2025/1/15 13:0:23 20.17 332.00 0
2025/1/15 13:0:23 20.05 332.00 0
2025/1/15 13:0:23 20.07 332.00 0
2025/1/15 13:0:23 20.07 332.00 0
2025/1/15 13:0:24 20.05 333.00 0
2025/1/15 13:0:24 20.15 332.00 0
2025/1/15 13:0:24 20.07 332.00 0
2025/1/15 13:0:24 20.15 332.00 0
2025/1/15 13:0:24 20.15 332.00 0
2025/1/15 13:0:25 20.17 332.00 0
2025/1/15 13:0:25 20.09 332.00 0
2025/1/15 13:0:25 20.11 332.00 0
2025/1/15 13:0:25 20.17 332.00 0
2025/1/15 13:0:26 20.01 332.00 0
2025/1/15 13:0:26 20.07 332.00 0
2025/1/15 13:0:26 20.17 332.00 0
2025/1/15 13:0:26 20.07 332.00 0
2025/1/15 13:0:27 20.03 332.00 0
2025/1/15 13:0:27 19.99 332.00 0
2025/1/15 13:0:27 20.07 333.00 0
2025/1/15 13:0:27 20.05 333.00 0
2025/1/15 13:0:28 20.05 333.00 0
2025/1/15 13:0:28 20.11 332.00 0
2025/1/15 13:0:28 20.13 332.00 0
2025/1/15 13:0:28 20.01 332.00 0
2025/1/15 13:0:28 20.07 332.00 0
2025/1/15 13:0:29 20.13 332.00 0
2025/1/15 13:0:29 20.07 332.00 0
2025/1/15 13:0:29 20.13 332.00 0
2025/1/15 13:0:29 20.17 332.00 0
2025/1/15 13:0:30 20.11 332.00 0
2025/1/15 13:0:30 20.11 332.00 0
2025/1/15 13:0:30 20.05 332.00 0
2025/1/15 13:0:30 20.05 332.00 0
2025/1/15 13:0:31 20.11 332.00 0
2025/1/15 13:0:31 20.01 332.00 0
2025/1/15 13:0:31 20.13 332.00 0
2025/1/15 13:0:31 20.07 332.00 0
2025/1/15 13:0:32 20.15 332.00 0
2025/1/15 13:0:32 20.07 332.00 0
2025/1/15 13:0:32 19.99 333.00 0
2025/1/15 13:0:32 20.13 332.00 0
2025/1/15 13:0:32 20.07 332.00 0
2025/1/15 13:0:33 20.05 332.00 0
2025/1/15 13:0:33 20.09 332.00 0
2025/1/15 13:0:33 20.05 332.00 0
2025/1/15 13:0:33 20.13 332.00 0
2025/1/15 13:0:34 20.13 332.00 0
2025/1/15 13:0:34 20.09 332.00 0
2025/1/15 13:0:34 20.09 332.00 0
2025/1/15 13:0:34 20.09 332.00 0
2025/1/15 13:0:35 20.09 333.00 0
2025/1/15 13:0:35 20.07 333.00 0
2025/1/15 13:0:35 20.11 333.00 0
2025/1/15 13:0:35 20.03 332.00 0
2025/1/15 13:0:36 20.13 332.00 0
2025/1/15 13:0:36 20.11 332.00 0
2025/1/15 13:0:36 20.15 332.00 0
2025/1/15 13:0:36 19.99 332.00 0
2025/1/15 13:0:36 20.15 332.00 0
2025/1/15 13:0:37 20.15 332.00 0
2025/1/15 13:0:37 20.05 332.00 0
2025/1/15 13:0:37 20.09 332.00 0
2025/1/15 13:0:37 20.11 332.00 0
2025/1/15 13:0:38 20.15 332.00 0
2025/1/15 13:0:38 20.03 332.00 0
2025/1/15 13:0:38 20.15 332.00 0
2025/1/15 13:0:38 20.07 332.00 0
2025/1/15 13:0:39 20.13 332.00 0
2025/1/15 13:0:39 20.15 332.00 0
2025/1/15 13:0:39 20.05 332.00 0
2025/1/15 13:0:39 20.17 332.00 0
2025/1/15 13:0:40 20.15 332.00 0
2025/1/15 13:0:40 20.17 332.00 0
2025/1/15 13:0:40 20.07 332.00 0
2025/1/15 13:0:40 20.13 332.00 0
2025/1/15 13:0:40 20.05 332.00 0
2025/1/15 13:0:41 20.19 332.00 0
2025/1/15 13:0:41 20.09 332.00 0
2025/1/15 13:0:41 20.19 333.00 0
2025/1/15 13:0:41 20.17 333.00 0
2025/1/15 13:0:42 20.15 332.00 0
2025/1/15 13:0:42 20.17 332.00 0
2025/1/15 13:0:42 20.07 332.00 0
2025/1/15 13:0:42 20.13 332.00 0
2025/1/15 13:0:43 20.17 332.00 0
2025/1/15 13:0:43 20.15 332.00 0
2025/1/15 13:0:43 20.19 332.00 0
2025/1/15 13:0:43 20.07 332.00 0
2025/1/15 13:0:44 20.09 332.00 0
2025/1/15 13:0:44 20.11 332.00 0
2025/1/15 13:0:44 20.09 332.00 0
2025/1/15 13:0:44 20.09 332.00 0
2025/1/15 13:0:45 20.11 332.00 0
2025/1/15 13:0:45 20.09 332.00 0
2025/1/15 13:0:45 20.11 332.00 0
2025/1/15 13:0:45 20.11 332.00 0
2025/1/15 13:0:45 20.19 333.00 0
2025/1/15 13:0:46 20.07 333.00 0
2025/1/15 13:0:46 20.11 333.00 0
2025/1/15 13:0:46 20.11 333.00 0
2025/1/15 13:0:46 20.13 333.00 0
2025/1/15 13:0:47 20.17 333.00 0
2025/1/15 13:0:47 20.11 333.00 0
2025/1/15 13:0:47 20.11 332.00 0
2025/1/15 13:0:47 20.05 332.00 0
2025/1/15 13:0:48 20.17 332.00 0
2025/1/15 13:0:48 20.07 332.00 0
2025/1/15 13:0:48 20.07 332.00 0
2025/1/15 13:0:48 20.13 332.00 0
2025/1/15 13:0:49 20.17 333.00 0
2025/1/15 13:0:49 20.13 333.00 0
2025/1/15 13:0:49 20.07 333.00 0
2025/1/15 13:0:49 20.13 333.00 0
2025/1/15 13:0:49 20.17 332.00 0
2025/1/15 13:0:50 20.17 333.00 0
2025/1/15 13:0:50 20.17 332.00 0
2025/1/15 13:0:50 20.05 332.00 0
2025/1/15 13:0:50 20.15 332.00 0
2025/1/15 13:0:51 20.15 332.00 0
2025/1/15 13:0:51 20.09 332.00 0
2025/1/15 13:0:51 20.17 332.00 0
2025/1/15 13:0:51 20.05 332.00 0
2025/1/15 13:0:52 20.07 332.00 0
2025/1/15 13:0:52 20.13 332.00 0
2025/1/15 13:0:52 20.17 333.00 0
2025/1/15 13:0:52 20.09 333.00 0
2025/1/15 13:0:53 20.11 332.00 0
2025/1/15 13:0:53 20.13 332.00 0
2025/1/15 13:0:53 20.15 332.00 0
2025/1/15 13:0:53 20.07 332.00 0
2025/1/15 13:0:53 20.03 332.00 0
2025/1/15 13:0:54 20.05 332.00 0
2025/1/15 13:0:54 20.05 332.00 0
2025/1/15 13:0:54 20.13 332.00 0
2025/1/15 13:0:54 20.09 332.00 0
2025/1/15 13:0:55 20.03 332.00 0
2025/1/15 13:0:55 20.05 332.00 0
2025/1/15 13:0:55 20.05 332.00 0
2025/1/15 13:0:55 19.99 332.00 0
2025/1/15 13:0:56 20.03 333.00 0
2025/1/15 13:0:56 20.11 333.00 0
2025/1/15 13:0:56 20.13 332.00 0
2025/1/15 13:0:56 20.03 332.00 0
2025/1/15 13:0:57 20.03 332.00 0
2025/1/15 13:0:57 20.05 332.00 0
2025/1/15 13:0:57 20.05 332.00 0
2025/1/15 13:0:57 20.11 332.00 0
2025/1/15 13:0:57 20.13 332.00 0
2025/1/15 13:0:58 20.05 332.00 0
2025/1/15 13:0:58 20.01 332.00 0
2025/1/15 13:0:58 20.09 332.00 0
2025/1/15 13:0:58 20.11 332.00 0
2025/1/15 13:0:59 20.03 333.00 0
2025/1/15 13:0:59 20.11 333.00 0
2025/1/15 13:0:59 20.13 333.00 0
2025/1/15 13:0:59 20.07 333.00 0
2025/1/15 13:1:0 19.95 333.00 0
2025/1/15 13:1:0 20.07 333.00 0
2025/1/15 13:1:0 20.11 332.00 0
2025/1/15 13:1:0 20.13 332.00 0
2025/1/15 13:1:1 20.15 332.00 0
2025/1/15 13:1:1 20.13 332.00 0
2025/1/15 13:1:1 20.13 332.00 0
2025/1/15 13:1:1 19.99 332.00 0
2025/1/15 13:1:1 20.05 332.00 0
2025/1/15 13:1:2 20.03 332.00 0
2025/1/15 13:1:2 19.99 332.00 0
2025/1/15 13:1:2 20.05 332.00 0
2025/1/15 13:1:2 20.07 333.00 0
2025/1/15 13:1:3 20.03 332.00 0
2025/1/15 13:1:3 20.11 332.00 0
2025/1/15 13:1:3 20.03 332.00 0
2025/1/15 13:1:3 20.05 332.00 0
2025/1/15 13:1:4 20.05 332.00 0
2025/1/15 13:1:4 20.05 332.00 0
2025/1/15 13:1:4 20.07 333.00 0
2025/1/15 13:1:4 20.03 333.00 0
2025/1/15 13:1:5 20.11 333.00 0
2025/1/15 13:1:5 20.13 333.00 0
2025/1/15 13:1:5 20.05 333.00 0
2025/1/15 13:1:5 20.11 333.00 0
2025/1/15 13:1:5 20.11 333.00 0
2025/1/15 13:1:6 20.01 332.00 0
2025/1/15 13:1:6 20.01 332.00 0
2025/1/15 13:1:7 19.93 332.00 0
2025/1/15 13:1:7 19.97 333.00 0
2025/1/15 13:1:7 20.07 332.00 0
2025/1/15 13:1:7 20.11 332.00 0
2025/1/15 13:1:8 20.03 332.00 0
2025/1/15 13:1:8 20.03 332.00 0
2025/1/15 13:1:8 19.95 332.00 0
2025/1/15 13:1:8 20.11 332.00 0
2025/1/15 13:1:8 20.05 332.00 0
2025/1/15 13:1:9 20.03 332.00 0
2025/1/15 13:1:9 20.05 332.00 0
2025/1/15 13:1:9 19.99 333.00 0
2025/1/15 13:1:9 20.01 333.00 0
2025/1/15 13:1:10 20.03 332.00 0
2025/1/15 13:1:10 20.03 332.00 0
2025/1/15 13:1:10 20.01 332.00 0
2025/1/15 13:1:10 19.93 332.00 0
2025/1/15 13:1:11 20.03 332.00 0
2025/1/15 13:1:11 20.03 332.00 0
2025/1/15 13:1:11 20.03 332.00 0
2025/1/15 13:1:11 20.05 332.00 0
2025/1/15 13:1:12 20.05 332.00 0
2025/1/15 13:1:12 19.99 332.00 0
2025/1/15 13:1:12 20.03 332.00 0
2025/1/15 13:1:12 20.07 332.00 0
2025/1/15 13:1:12 20.03 332.00 0
2025/1/15 13:1:13 20.09 332.00 0
2025/1/15 13:1:13 20.03 332.00 0
2025/1/15 13:1:13 20.09 332.00 0
2025/1/15 13:1:13 19.99 332.00 0
2025/1/15 13:1:14 20.13 332.00 0
2025/1/15 13:1:14 20.03 332.00 0
2025/1/15 13:1:14 19.99 332.00 0
2025/1/15 13:1:14 20.07 332.00 0
2025/1/15 13:1:15 20.01 332.00 0
2025/1/15 13:1:15 19.93 333.00 0
2025/1/15 13:1:15 20.07 333.00 0
2025/1/15 13:1:15 20.09 333.00 0
2025/1/15 13:1:16 20.01 332.00 0
2025/1/15 13:1:16 20.03 332.00 0
2025/1/15 13:1:16 19.99 332.00 0
2025/1/15 13:1:16 19.99 332.00 0
2025/1/15 13:1:16 20.03 332.00 0
2025/1/15 13:1:17 20.07 332.00 0
