Fecha Hora Temperatura Distancia Laser_pequeño
2025/5/9 13:10:35 18.71 316 223
2025/5/9 13:10:36 18.79 316 223
2025/5/9 13:10:37 18.81 316 217
2025/5/9 13:10:38 18.81 316 218
2025/5/9 13:10:39 18.63 316 213
2025/5/9 13:10:40 18.53 316 207
2025/5/9 13:10:41 18.71 316 207
2025/5/9 13:10:42 18.79 316 222
2025/5/9 13:10:43 18.91 316 227
2025/5/9 13:10:44 18.71 316 216
2025/5/9 13:10:45 18.49 316 215
2025/5/9 13:10:46 18.71 316 214
2025/5/9 13:10:47 18.63 316 219
2025/5/9 13:10:49 18.49 316 210
2025/5/9 13:10:50 18.81 316 219
2025/5/9 13:10:51 18.75 316 228
2025/5/9 13:10:52 18.41 316 207
2025/5/9 13:10:53 18.71 316 215
2025/5/9 13:10:54 18.65 316 212
2025/5/9 13:10:55 18.75 316 227
2025/5/9 13:10:56 18.69 316 229
2025/5/9 13:10:57 18.79 316 220
2025/5/9 13:10:58 18.81 316 221
2025/5/9 13:10:59 18.65 316 207
2025/5/9 13:11:0 18.71 316 220
2025/5/9 13:11:1 18.63 316 216
