Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/5/9 11:24:55 -263.73 83.00 1
2025/5/9 11:24:55 -263.73 84.00 1
2025/5/9 11:24:55 -263.57 84.00 1
2025/5/9 11:24:56 -263.61 84.00 1
2025/5/9 11:24:56 -263.57 84.00 1
2025/5/9 11:24:56 -263.57 84.00 1
2025/5/9 11:24:56 -263.61 84.00 1
2025/5/9 11:24:57 -263.61 84.00 1
2025/5/9 11:24:57 -263.57 84.00 1
2025/5/9 11:24:57 -263.57 84.00 1
2025/5/9 11:24:57 -263.57 83.00 1
2025/5/9 11:24:58 -263.61 83.00 1
2025/5/9 11:24:58 -263.57 83.00 1
2025/5/9 11:24:58 -263.61 83.00 1
2025/5/9 11:24:58 -263.73 83.00 1
2025/5/9 11:24:58 -263.73 83.00 1
2025/5/9 11:24:59 -263.57 84.00 1
2025/5/9 11:24:59 -263.57 84.00 1
2025/5/9 11:24:59 -263.57 84.00 1
2025/5/9 11:25:0 -263.61 84.00 1
2025/5/9 11:25:0 -263.57 84.00 1
2025/5/9 11:25:0 -263.73 84.00 1
2025/5/9 11:25:0 -263.57 84.00 1
2025/5/9 11:25:1 -263.57 84.00 1
2025/5/9 11:25:1 -263.57 84.00 1
2025/5/9 11:25:1 -263.61 83.00 1
2025/5/9 11:25:1 -263.61 83.00 1
2025/5/9 11:25:2 -263.61 84.00 1
2025/5/9 11:25:2 -263.61 84.00 1
2025/5/9 11:25:2 -263.61 84.00 1
2025/5/9 11:25:2 -263.61 84.00 1
2025/5/9 11:25:2 -263.57 84.00 1
2025/5/9 11:25:3 -263.57 84.00 1
2025/5/9 11:25:3 -263.61 84.00 1
2025/5/9 11:25:3 -263.57 84.00 1
2025/5/9 11:25:3 -263.57 83.00 1
2025/5/9 11:25:4 -263.61 83.00 1
2025/5/9 11:25:4 -263.57 83.00 1
2025/5/9 11:25:4 -263.73 84.00 1
2025/5/9 11:25:4 -263.57 84.00 1
2025/5/9 11:25:5 -263.57 84.00 1
2025/5/9 11:25:5 -263.73 84.00 1
2025/5/9 11:25:5 -263.61 84.00 1
2025/5/9 11:25:5 -263.57 83.00 1
2025/5/9 11:25:6 -263.57 83.00 1
2025/5/9 11:25:6 -263.61 83.00 1
2025/5/9 11:25:6 -263.57 83.00 1
2025/5/9 11:25:6 -263.57 83.00 1
2025/5/9 11:25:6 -263.61 84.00 1
2025/5/9 11:25:7 -263.73 84.00 1
2025/5/9 11:25:7 -263.73 84.00 1
2025/5/9 11:25:7 -263.61 84.00 1
2025/5/9 11:25:7 -263.73 84.00 1
2025/5/9 11:25:8 -263.61 84.00 1
2025/5/9 11:25:8 -263.61 84.00 1
2025/5/9 11:25:8 -263.61 84.00 1
2025/5/9 11:25:8 -263.53 84.00 1
2025/5/9 11:25:9 -263.61 84.00 1
2025/5/9 11:25:9 -263.57 84.00 1
2025/5/9 11:25:9 -263.73 84.00 1
2025/5/9 11:25:9 -263.73 83.00 1
2025/5/9 11:25:10 -263.61 83.00 1
2025/5/9 11:25:10 -263.61 83.00 1
2025/5/9 11:25:10 -263.61 83.00 1
2025/5/9 11:25:10 -263.61 83.00 1
2025/5/9 11:25:10 -263.73 84.00 1
2025/5/9 11:25:11 -263.61 84.00 1
2025/5/9 11:25:11 -263.73 84.00 1
2025/5/9 11:25:11 -263.57 84.00 1
2025/5/9 11:25:11 -263.61 83.00 1
2025/5/9 11:25:12 -263.61 83.00 1
2025/5/9 11:25:12 -263.57 83.00 1
2025/5/9 11:25:12 -263.57 83.00 1
2025/5/9 11:25:12 -263.73 83.00 1
2025/5/9 11:25:13 -263.57 83.00 1
2025/5/9 11:25:13 -263.57 84.00 1
2025/5/9 11:25:13 -263.57 84.00 1
2025/5/9 11:25:13 -263.57 83.00 1
2025/5/9 11:25:14 -263.73 83.00 1
2025/5/9 11:25:14 -263.73 83.00 1
2025/5/9 11:25:14 -263.61 83.00 1
2025/5/9 11:25:14 -263.61 83.00 1
2025/5/9 11:25:14 -263.73 83.00 1
2025/5/9 11:25:15 -263.61 83.00 1
2025/5/9 11:25:15 -263.57 83.00 1
2025/5/9 11:25:15 -263.61 83.00 1
2025/5/9 11:25:15 -263.61 83.00 1
2025/5/9 11:25:16 -263.57 83.00 1
2025/5/9 11:25:16 -263.61 83.00 1
2025/5/9 11:25:16 -263.57 83.00 1
2025/5/9 11:25:16 -263.73 83.00 1
2025/5/9 11:25:17 -263.57 83.00 1
2025/5/9 11:25:17 -263.61 83.00 1
2025/5/9 11:25:17 -263.61 84.00 1
2025/5/9 11:25:17 -263.73 84.00 1
2025/5/9 11:25:18 -263.57 84.00 1
2025/5/9 11:25:18 -263.61 84.00 1
2025/5/9 11:25:18 -263.61 84.00 1
2025/5/9 11:25:18 -263.57 84.00 1
2025/5/9 11:25:19 -263.57 84.00 1
2025/5/9 11:25:19 -263.61 84.00 1
2025/5/9 11:25:19 -263.61 84.00 1
2025/5/9 11:25:19 -263.57 84.00 1
2025/5/9 11:25:19 -263.61 84.00 1
2025/5/9 11:25:20 -263.73 84.00 1
2025/5/9 11:25:20 -263.61 84.00 1
2025/5/9 11:25:20 -263.57 84.00 1
2025/5/9 11:25:20 -263.73 84.00 1
2025/5/9 11:25:21 -263.57 84.00 1
2025/5/9 11:25:21 -263.61 84.00 1
2025/5/9 11:25:21 -263.61 84.00 1
2025/5/9 11:25:21 -263.61 84.00 1
2025/5/9 11:25:22 -263.61 84.00 1
2025/5/9 11:25:22 -263.73 84.00 1
2025/5/9 11:25:22 -263.73 84.00 1
2025/5/9 11:25:22 -263.61 84.00 1
2025/5/9 11:25:23 -263.61 84.00 1
2025/5/9 11:25:23 -263.57 84.00 1
2025/5/9 11:25:23 -263.61 84.00 1
2025/5/9 11:25:23 -263.57 84.00 1
2025/5/9 11:25:23 -263.57 84.00 1
2025/5/9 11:25:24 -263.57 84.00 1
2025/5/9 11:25:24 -263.57 83.00 1
2025/5/9 11:25:24 -263.57 83.00 1
2025/5/9 11:25:24 -263.61 83.00 1
2025/5/9 11:25:25 -263.73 83.00 1
2025/5/9 11:25:25 -263.61 83.00 1
2025/5/9 11:25:25 -263.61 83.00 1
2025/5/9 11:25:25 -263.57 83.00 1
2025/5/9 11:25:26 -263.61 83.00 1
2025/5/9 11:25:26 -263.61 83.00 1
2025/5/9 11:25:26 -263.73 83.00 1
