Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025/1/16 10:0:23 21.61 301 86 1
2025/1/16 10:0:24 21.91 301 8191 0
2025/1/16 10:0:25 22.07 355 48 1
2025/1/16 10:0:26 21.67 355 213 0
2025/1/16 10:0:27 21.73 355 228 0
2025/1/16 10:0:28 21.89 355 92 1
2025/1/16 10:0:29 21.83 355 71 1
2025/1/16 10:0:30 21.89 355 8191 0
2025/1/16 10:0:31 21.85 355 35 1
2025/1/16 10:0:33 21.91 355 83 1
2025/1/16 10:0:34 21.73 355 8191 0
2025/1/16 10:0:35 21.79 355 280 0
2025/1/16 10:0:36 20.43 355 285 0
2025/1/16 10:0:37 20.83 337 297 0
2025/1/16 10:0:38 20.89 337 245 0
2025/1/16 10:0:39 21.83 337 73 1
2025/1/16 10:0:40 21.97 355 0 1
2025/1/16 10:0:41 21.91 355 67 1
2025/1/16 10:0:42 21.89 355 254 0
2025/1/16 10:0:43 21.91 355 50 1
2025/1/16 10:0:44 21.73 355 8191 0
2025/1/16 10:0:45 21.73 355 8190 0
2025/1/16 10:0:46 21.61 355 8191 0
2025/1/16 10:0:47 21.95 356 38 1
2025/1/16 10:0:48 21.77 356 48 1
2025/1/16 10:0:49 21.55 356 276 0
2025/1/16 10:0:50 20.59 356 257 0
2025/1/16 10:0:51 20.45 334 304 0
2025/1/16 10:0:52 20.55 334 286 0
2025/1/16 10:0:54 21.33 342 29 1
2025/1/16 10:0:55 21.63 342 8191 0
2025/1/16 10:0:56 21.91 356 8191 0
2025/1/16 10:0:57 21.97 356 149 1
2025/1/16 10:0:58 21.71 356 269 0
2025/1/16 10:0:59 22.01 354 8191 0
2025/1/16 10:1:0 21.89 354 8191 0
2025/1/16 10:1:1 21.73 354 56 1
2025/1/16 10:1:2 21.89 355 77 1
2025/1/16 10:1:3 21.85 355 8191 0
2025/1/16 10:1:4 21.61 355 92 1
2025/1/16 10:1:5 22.07 355 8191 0
2025/1/16 10:1:6 21.91 355 8191 0
2025/1/16 10:1:7 21.71 355 85 1
2025/1/16 10:1:8 21.63 355 82 1
2025/1/16 10:1:9 21.83 355 53 1
2025/1/16 10:1:10 21.95 355 76 1
2025/1/16 10:1:11 21.77 355 14 1
2025/1/16 10:1:12 22.19 356 8191 0
2025/1/16 10:1:14 21.83 356 8191 0
2025/1/16 10:1:15 22.13 356 51 1
2025/1/16 10:1:16 21.79 356 75 1
2025/1/16 10:1:17 21.89 356 193 1
2025/1/16 10:1:18 21.63 356 221 0
2025/1/16 10:1:19 21.95 356 248 0
2025/1/16 10:1:20 20.49 356 254 0
2025/1/16 10:1:21 21.21 341 220 0
2025/1/16 10:1:22 21.21 341 210 0
2025/1/16 10:1:23 21.23 329 241 0
2025/1/16 10:1:24 21.45 329 8191 0
2025/1/16 10:1:25 23.09 355 59 1
2025/1/16 9:57:24 19.99 354 8191 0
2025/1/16 9:57:25 19.99 354 8191 0
2025/1/16 9:57:26 19.93 354 31 1
2025/1/16 9:57:27 20.09 354 8191 0
2025/1/16 9:57:28 20.11 354 91 1
2025/1/16 9:58:3 19.73 352 62 1
2025/1/16 9:58:4 19.73 352 8191 0
2025/1/16 9:58:5 19.95 353 8191 0
2025/1/16 9:58:6 19.57 353 8191 0
2025/1/16 9:58:7 19.93 355 8191 0
2025/1/16 9:58:8 19.71 355 8191 0
2025/1/16 9:58:9 19.79 355 8191 0
2025/1/16 9:58:10 19.83 355 146 1
2025/1/16 9:58:12 19.47 355 9 1
2025/1/16 9:58:13 19.63 355 8191 0
2025/1/16 9:58:14 19.71 355 64 1
2025/1/16 9:58:15 19.79 355 8191 0
2025/1/16 9:58:16 19.77 355 8191 0
2025/1/16 9:58:17 19.63 355 19 1
2025/1/16 9:58:18 19.67 355 8191 0
2025/1/16 9:58:19 19.73 355 8191 0
2025/1/16 9:58:20 19.79 355 8191 0
2025/1/16 9:58:21 19.79 355 8190 0
2025/1/16 9:58:22 19.77 355 82 1
2025/1/16 9:58:23 19.77 355 78 1
2025/1/16 9:58:24 19.77 355 8191 0
2025/1/16 9:58:25 19.73 355 83 1
2025/1/16 9:58:26 19.67 355 8191 0
2025/1/16 9:58:27 19.79 355 8191 0
2025/1/16 9:58:28 19.51 355 114 1
2025/1/16 9:58:29 19.71 355 82 1
2025/1/16 9:58:30 19.41 355 52 1
2025/1/16 9:58:31 19.67 355 8191 0
2025/1/16 9:58:33 19.67 355 55 1
2025/1/16 9:58:34 19.67 355 8190 0
2025/1/16 9:58:35 19.79 355 8191 0
2025/1/16 9:58:36 19.67 355 8191 0
2025/1/16 9:58:37 19.63 355 65 1
2025/1/16 9:58:38 19.57 355 8191 0
2025/1/16 9:58:39 19.77 355 8191 0
2025/1/16 9:58:40 19.73 355 88 1
2025/1/16 9:58:41 19.57 355 52 1
2025/1/16 9:58:42 19.83 355 8191 0
2025/1/16 9:58:43 19.63 355 8191 0
2025/1/16 9:58:44 19.45 355 8191 0
2025/1/16 9:58:45 19.63 355 8190 0
2025/1/16 9:58:46 19.71 355 8191 0
2025/1/16 9:58:47 19.79 355 8191 0
2025/1/16 9:58:48 19.67 355 8191 0
2025/1/16 9:58:49 19.57 355 8191 0
2025/1/16 9:58:50 19.71 355 8191 0
2025/1/16 9:58:51 19.87 355 69 1
2025/1/16 9:58:52 19.71 355 0 1
2025/1/16 9:58:54 19.57 355 8191 0
2025/1/16 9:58:55 19.79 355 8191 0
2025/1/16 9:58:56 19.67 355 8191 0
2025/1/16 9:58:57 19.63 355 8191 0
2025/1/16 9:58:58 19.71 355 8191 0
2025/1/16 9:58:59 19.77 355 8190 0
2025/1/16 9:59:0 19.71 355 8191 0
2025/1/16 9:59:1 19.55 355 8191 0
2025/1/16 9:59:2 19.89 355 8191 0
2025/1/16 9:59:3 19.71 355 46 1
2025/1/16 9:59:4 19.71 355 8191 0
2025/1/16 9:59:5 19.77 355 8191 0
2025/1/16 9:59:6 19.71 355 8191 0
2025/1/16 9:59:7 19.87 355 74 1
2025/1/16 9:59:8 19.77 355 8191 0
2025/1/16 9:59:9 19.79 355 8191 0
2025/1/16 9:59:10 19.99 355 8191 0
2025/1/16 9:59:11 19.79 355 8191 0
2025/1/16 9:59:12 19.79 355 8191 0
2025/1/16 9:59:13 19.87 355 8191 0
2025/1/16 9:59:15 20.01 355 8191 0
2025/1/16 9:59:16 20.01 355 8191 0
2025/1/16 9:59:17 19.67 355 51 1
2025/1/16 9:59:18 19.83 355 8191 0
2025/1/16 9:59:19 19.87 355 8191 0
2025/1/16 9:59:20 19.79 355 8191 0
2025/1/16 9:59:21 19.89 355 8191 0
2025/1/16 9:59:22 20.05 355 107 1
2025/1/16 9:59:23 19.89 355 43 1
2025/1/16 9:59:24 19.99 355 8191 0
2025/1/16 9:59:25 20.39 355 108 1
2025/1/16 9:59:26 20.15 355 8191 0
2025/1/16 9:59:27 20.23 355 8191 0
2025/1/16 9:59:28 20.15 355 94 1
2025/1/16 9:59:29 20.09 355 8191 0
2025/1/16 9:59:30 19.99 355 8191 0
2025/1/16 9:59:31 20.05 355 8191 0
2025/1/16 9:59:32 20.01 355 102 1
2025/1/16 9:59:33 19.99 355 8191 0
2025/1/16 9:59:34 20.15 355 88 1
2025/1/16 9:59:36 19.99 355 8191 0
2025/1/16 9:59:37 20.23 355 8191 0
2025/1/16 9:59:38 19.95 355 8191 0
2025/1/16 9:59:39 20.23 355 8191 0
2025/1/16 9:59:40 20.23 355 8191 0
2025/1/16 9:59:41 20.31 355 60 1
2025/1/16 9:59:42 20.01 355 8191 0
2025/1/16 9:59:43 20.17 355 42 1
2025/1/16 9:59:44 20.31 355 8191 0
