Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/15 15:25:18 15.09 298.00 0
2025/1/15 15:25:18 15.09 298.00 0
2025/1/15 15:25:18 15.07 299.00 0
2025/1/15 15:25:18 15.07 299.00 0
2025/1/15 15:25:18 15.11 298.00 0
2025/1/15 15:25:18 15.11 298.00 0
2025/1/15 15:25:18 15.05 298.00 0
2025/1/15 15:25:19 15.05 298.00 0
2025/1/15 15:25:19 15.21 298.00 0
2025/1/15 15:25:19 15.21 298.00 0
2025/1/15 15:25:19 15.11 298.00 0
2025/1/15 15:25:19 15.09 298.00 0
2025/1/15 15:25:19 15.05 298.00 0
2025/1/15 15:25:19 15.05 298.00 0
2025/1/15 15:25:19 15.13 298.00 0
2025/1/15 15:25:19 15.13 298.00 0
2025/1/15 15:25:20 15.17 298.00 0
2025/1/15 15:25:20 15.17 298.00 0
2025/1/15 15:25:20 15.11 299.00 0
2025/1/15 15:25:20 15.11 299.00 0
2025/1/15 15:25:20 15.05 298.00 0
2025/1/15 15:25:20 15.07 298.00 0
2025/1/15 15:25:20 15.05 299.00 0
2025/1/15 15:25:21 15.03 299.00 0
2025/1/15 15:25:21 15.03 299.00 0
2025/1/15 15:25:21 15.07 299.00 0
2025/1/15 15:25:21 15.07 299.00 0
2025/1/15 15:25:21 15.15 299.00 0
2025/1/15 15:25:21 15.15 299.00 0
2025/1/15 15:25:21 15.09 298.00 0
2025/1/15 15:25:21 15.13 298.00 0
2025/1/15 15:25:22 15.09 299.00 0
2025/1/15 15:25:22 15.09 299.00 0
2025/1/15 15:25:22 15.15 299.00 0
2025/1/15 15:25:22 15.15 299.00 0
2025/1/15 15:25:22 15.15 298.00 0
2025/1/15 15:25:22 15.15 298.00 0
2025/1/15 15:25:22 15.07 298.00 0
2025/1/15 15:25:23 15.11 298.00 0
2025/1/15 15:25:23 15.01 298.00 0
2025/1/15 15:25:23 15.07 299.00 0
2025/1/15 15:25:23 15.07 299.00 0
2025/1/15 15:25:23 15.17 297.00 0
2025/1/15 15:25:23 15.17 297.00 0
2025/1/15 15:25:23 15.09 298.00 0
2025/1/15 15:25:23 15.09 298.00 0
2025/1/15 15:25:23 15.19 298.00 0
2025/1/15 15:25:23 15.19 298.00 0
2025/1/15 15:25:24 15.11 298.00 0
2025/1/15 15:25:24 15.05 298.00 0
2025/1/15 15:25:24 15.05 297.00 0
2025/1/15 15:25:24 15.05 297.00 0
2025/1/15 15:25:24 15.17 297.00 0
2025/1/15 15:25:24 15.13 298.00 0
2025/1/15 15:25:24 15.13 298.00 0
2025/1/15 15:25:25 15.13 298.00 0
2025/1/15 15:25:25 15.13 298.00 0
2025/1/15 15:25:25 15.17 297.00 0
2025/1/15 15:25:25 15.21 297.00 0
2025/1/15 15:25:25 15.19 298.00 0
2025/1/15 15:25:25 15.19 298.00 0
2025/1/15 15:25:25 15.13 299.00 0
2025/1/15 15:25:25 15.13 299.00 0
2025/1/15 15:25:26 15.17 299.00 0
2025/1/15 15:25:26 15.17 299.00 0
2025/1/15 15:25:26 15.15 300.00 0
2025/1/15 15:25:26 15.15 300.00 0
2025/1/15 15:25:26 15.13 298.00 0
2025/1/15 15:25:26 15.09 300.00 0
2025/1/15 15:25:26 15.09 300.00 0
2025/1/15 15:25:27 15.21 299.00 0
2025/1/15 15:25:27 15.21 299.00 0
2025/1/15 15:25:27 15.13 299.00 0
2025/1/15 15:25:27 15.13 299.00 0
2025/1/15 15:25:27 15.13 298.00 0
2025/1/15 15:25:27 15.13 298.00 0
2025/1/15 15:25:27 15.15 298.00 0
2025/1/15 15:25:27 15.09 298.00 0
2025/1/15 15:25:27 15.09 300.00 0
2025/1/15 15:25:27 15.09 300.00 0
2025/1/15 15:25:28 15.15 298.00 0
2025/1/15 15:25:28 15.15 298.00 0
2025/1/15 15:25:28 15.07 298.00 0
2025/1/15 15:25:28 15.19 297.00 0
2025/1/15 15:25:28 15.13 299.00 0
2025/1/15 15:25:29 15.19 298.00 0
2025/1/15 15:25:29 15.13 297.00 0
