Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/22 9:37:31 20.19 294.00 0
2025/1/22 9:37:31 20.07 294.00 0
2025/1/22 9:37:32 20.15 294.00 0
2025/1/22 9:37:32 20.15 294.00 0
2025/1/22 9:37:32 20.23 294.00 0
2025/1/22 9:37:32 20.11 294.00 0
2025/1/22 9:37:33 20.17 294.00 0
2025/1/22 9:37:33 20.05 294.00 0
2025/1/22 9:37:33 20.13 294.00 0
2025/1/22 9:37:33 20.15 294.00 0
2025/1/22 9:37:34 20.07 294.00 0
2025/1/22 9:37:34 20.05 294.00 0
2025/1/22 9:37:34 20.15 294.00 0
2025/1/22 9:37:34 20.13 294.00 0
2025/1/22 9:37:35 20.15 294.00 0
2025/1/22 9:37:35 20.19 294.00 0
2025/1/22 9:37:35 20.15 294.00 0
2025/1/22 9:37:35 20.19 294.00 0
2025/1/22 9:37:35 20.07 294.00 0
2025/1/22 9:37:36 20.03 294.00 0
2025/1/22 9:37:36 20.21 294.00 0
2025/1/22 9:37:36 20.21 294.00 0
2025/1/22 9:37:36 20.17 294.00 0
2025/1/22 9:37:37 20.21 294.00 0
2025/1/22 9:37:37 20.23 294.00 0
2025/1/22 9:37:37 20.11 294.00 0
2025/1/22 9:37:37 20.15 294.00 0
2025/1/22 9:37:38 20.19 294.00 0
2025/1/22 9:37:38 20.13 294.00 0
2025/1/22 9:37:38 20.01 294.00 0
2025/1/22 9:37:38 20.09 294.00 0
2025/1/22 9:37:39 20.17 294.00 0
2025/1/22 9:37:39 20.09 294.00 0
2025/1/22 9:37:39 20.19 294.00 0
2025/1/22 9:37:39 20.15 294.00 0
2025/1/22 9:37:39 20.09 294.00 0
2025/1/22 9:37:40 20.21 294.00 0
2025/1/22 9:37:40 20.15 294.00 0
2025/1/22 9:37:40 20.15 294.00 0
2025/1/22 9:37:40 20.13 294.00 0
2025/1/22 9:37:41 20.15 294.00 0
2025/1/22 9:37:41 20.11 294.00 0
2025/1/22 9:37:41 20.11 294.00 0
2025/1/22 9:37:41 20.13 294.00 0
2025/1/22 9:37:42 20.17 294.00 0
2025/1/22 9:37:42 20.21 294.00 0
2025/1/22 9:37:42 20.21 294.00 0
2025/1/22 9:37:43 20.11 294.00 0
2025/1/22 9:37:43 20.15 294.00 0
2025/1/22 9:37:43 20.13 294.00 0
2025/1/22 9:37:43 20.13 294.00 0
2025/1/22 9:37:43 20.17 294.00 0
2025/1/22 9:37:44 20.09 294.00 0
2025/1/22 9:37:44 20.21 294.00 0
2025/1/22 9:37:44 20.15 294.00 0
2025/1/22 9:37:44 20.13 294.00 0
2025/1/22 9:37:45 20.17 294.00 0
2025/1/22 9:37:45 20.19 294.00 0
2025/1/22 9:37:45 20.11 294.00 0
2025/1/22 9:37:11 20.17 296.00 0
2025/1/22 9:37:11 20.17 296.00 0
2025/1/22 9:37:12 20.09 295.00 0
2025/1/22 9:37:12 20.15 295.00 0
2025/1/22 9:37:12 20.15 295.00 0
2025/1/22 9:37:12 20.19 295.00 0
2025/1/22 9:37:12 20.17 294.00 0
2025/1/22 9:37:13 20.17 294.00 0
2025/1/22 9:37:13 20.19 294.00 0
2025/1/22 9:37:13 20.25 294.00 0
2025/1/22 9:37:13 20.13 294.00 0
2025/1/22 9:37:14 20.13 294.00 0
2025/1/22 9:37:14 20.15 294.00 0
2025/1/22 9:37:14 20.05 294.00 0
2025/1/22 9:37:14 20.09 294.00 0
2025/1/22 9:37:15 20.17 295.00 0
2025/1/22 9:37:15 20.19 295.00 0
2025/1/22 9:37:15 20.17 295.00 0
2025/1/22 9:37:15 20.09 295.00 0
2025/1/22 9:37:16 20.11 295.00 0
