Fecha,Hora,Corriente(A)
22/1/2025,16:20:52,-0.38
22/1/2025,16:20:52,-0.38
22/1/2025,16:20:52,-0.38
22/1/2025,16:20:52,-0.54
22/1/2025,16:20:52,-0.23
22/1/2025,16:20:52,-0.23
22/1/2025,16:20:52,-0.07
22/1/2025,16:20:52,-0.54
22/1/2025,16:20:52,-0.07
22/1/2025,16:20:52,-0.23
22/1/2025,16:20:53,-0.38
22/1/2025,16:20:53,-0.54
22/1/2025,16:20:53,-0.38
22/1/2025,16:20:53,-0.54
22/1/2025,16:20:53,-0.38
22/1/2025,16:20:53,-1.15
22/1/2025,16:20:53,-0.38
22/1/2025,16:20:53,-0.07
22/1/2025,16:20:53,-0.23
22/1/2025,16:20:53,-0.54
22/1/2025,16:20:54,-0.38
22/1/2025,16:20:54,-0.54
22/1/2025,16:20:54,-0.23
22/1/2025,16:20:54,-0.38
22/1/2025,16:20:54,-0.23
22/1/2025,16:20:54,-0.38
22/1/2025,16:20:54,-0.54
22/1/2025,16:20:54,-0.38
22/1/2025,16:20:54,-0.07
22/1/2025,16:20:55,-0.54
22/1/2025,16:20:55,-0.54
22/1/2025,16:20:55,-0.38
22/1/2025,16:20:55,-0.38
22/1/2025,16:20:55,-0.54
22/1/2025,16:20:55,-0.54
22/1/2025,16:20:55,-0.07
22/1/2025,16:20:55,-0.38
22/1/2025,16:20:55,-0.38
22/1/2025,16:20:55,-0.54
22/1/2025,16:20:55,-0.23
22/1/2025,16:20:56,-0.38
22/1/2025,16:20:56,-0.38
22/1/2025,16:20:56,-0.23
22/1/2025,16:20:56,-0.54
22/1/2025,16:20:56,-0.07
22/1/2025,16:20:56,-0.38
22/1/2025,16:20:56,-0.38
22/1/2025,16:20:56,-0.38
22/1/2025,16:20:56,-0.07
22/1/2025,16:20:57,-0.54
22/1/2025,16:20:57,-0.54
22/1/2025,16:20:57,-0.07
22/1/2025,16:20:57,0.08
22/1/2025,16:20:57,-1.46
22/1/2025,16:20:57,-1
22/1/2025,16:20:57,-0.38
22/1/2025,16:20:57,-0.38
22/1/2025,16:20:57,-0.38
22/1/2025,16:20:57,-0.38
22/1/2025,16:20:57,-0.38
22/1/2025,16:20:58,-0.23
22/1/2025,16:20:58,-0.54
22/1/2025,16:20:58,-0.23
22/1/2025,16:20:58,-0.38
22/1/2025,16:20:58,-0.38
22/1/2025,16:20:58,-0.38
22/1/2025,16:20:58,-0.23
22/1/2025,16:20:58,-0.38
22/1/2025,16:20:58,-0.38
22/1/2025,16:20:59,-0.54
22/1/2025,16:20:59,-0.23
22/1/2025,16:20:59,-0.07
22/1/2025,16:20:59,-0.38
22/1/2025,16:20:59,-0.54
